id,couple_id,season,premier_date,location,name,age,age_difference,gender,job,job_type,decision,split_decision,status,DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes,DeVonFranklin,DrPiaHolec
86,43,12,01/13/21,"Atlanta, Georgia",Ryan Oubré,29,2,M,Project Manager,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
87,44,12,01/13/21,"Atlanta, Georgia",Virginia Coombs,26,7,F,Account Coordinator,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
88,44,12,01/13/21,"Atlanta, Georgia",Erik Lake,33,7,M,Pilot,Other,Yes,FALSE,Married,1,0,0,0,1,0,0,1,0,0
89,45,13,07/21/21,"Houston, Texas",Michaela Clark,30,3,F,Realtor,Sales/Marketing,Yes,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
90,45,13,07/21/21,"Houston, Texas",Zack Freeman,27,3,M,Finance,Business/Finance,No,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
91,46,13,07/21/21,"Houston, Texas",Rachel Gordillo,33,2,F,Special Education Evaluator,Education,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
92,46,13,07/21/21,"Houston, Texas",Jose San Miguel,35,2,M,Mission Flight Specialist,Tech/Science/Engineering,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
93,47,13,07/21/21,"Houston, Texas","Bao Huong Hoang	",35,0,F,Research Administrative Director,Tech/Science/Engineering,No,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
94,47,13,07/21/21,"Houston, Texas",Johnny Lam,35,0,M,IT Project Manager,Tech/Science/Engineering,Yes,TRUE,Divorced,1,0,0,0,1,0,0,1,0,0
95,48,13,07/21/21,"Houston, Texas",Myrla Féria,34,1,F,Leadership coach,Other,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
96,48,13,07/21/21,"Houston, Texas",Gil Cuero,35,1,M,Firefighter,Other,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
97,49,13,07/21/21,"Houston, Texas",Brett Layton,33,2,F,Teacher & Volleyball Coach,Education,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
98,49,13,07/21/21,"Houston, Texas",Ryan Ignasiak,35,2,M,Oil & Gas Liaison,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
99,50,14,01/05/22,"Boston, Massachusetts",Jasmina Outar,29,1,F,Early Childhood Educator,Education,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
100,50,14,01/05/22,"Boston, Massachusetts",Michael Morency,28,1,M,Personal Trainer,Healthcare,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
101,51,14,01/05/22,"Boston, Massachusetts",Katina Goode,29,0,F,Benefit Calculation Analyst,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
102,51,14,01/05/22,"Boston, Massachusetts","Olajuwon Dickerson	",29,0,M,Municipal Wastewater Operator,Tech/Science/Engineering,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
103,52,14,01/05/22,"Boston, Massachusetts",Lindsey Gergoulis,34,3,F,Healthcare Project Manager,Healthcare,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
104,52,14,01/05/22,"Boston, Massachusetts",Mark Maher,37,3,M,Regional Sales Director,Sales/Marketing,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
105,53,14,01/05/22,"Boston, Massachusetts",Noi Phommasak,33,5,F,Talent Acquisition Coordinator,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
106,53,14,01/05/22,"Boston, Massachusetts",Steve Moy,38,5,M,Former Sales Engineer,Sales/Marketing,Yes,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
107,54,14,01/05/22,"Boston, Massachusetts",Alyssa Ellman,30,5,F,Social Media Manager,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
108,54,14,01/05/22,"Boston, Massachusetts",Chris Collette,35,5,M,Realtor,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,0,1,0,0
109,55,15,07/13/22,"San Diego, California","Stacia Karcher	",37,3,F,Accountant,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
110,55,15,07/13/22,"San Diego, California",Nate Barnes,34,3,M,Day trader,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
111,56,15,07/13/22,"San Diego, California",Alexis Williams,29,4,F,Logistic specialist,Business/Finance,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
112,56,15,07/13/22,"San Diego, California",Justin Hall,33,4,M,Digital Marketing Specialist,Sales/Marketing,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
113,57,15,07/13/22,"San Diego, California",Lindy Elloway,29,6,F,Physical therapy doctor,Healthcare,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
114,57,15,07/13/22,"San Diego, California",Miguel Santiago,35,6,M,"	Medical technical writer",Healthcare,Yes,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
115,58,15,07/13/22,"San Diego, California",Morgan Bell,29,0,F,Registered nurse,Healthcare,No,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
116,58,15,07/13/22,"San Diego, California",Binh Trinh,29,0,M,Engineer,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
117,59,15,07/13/22,"San Diego, California",Krysten Collins,32,9,F,Sales representative,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
118,59,15,07/13/22,"San Diego, California",Mitch Silverstein,41,9,M,Environmental policy advocate,Tech/Science/Engineering,No,FALSE,Divorced,1,0,0,0,1,0,0,0,0,0
119,60,16,01/04/23,"Nashville, Tennessee",Jasmine Secrest,32,7,F,Competitive cheerleading coach,Other,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
120,60,16,01/04/23,"Nashville, Tennessee",Airris Williams,39,7,M,Software engineer instructor,Education,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
121,61,16,01/04/23,"Nashville, Tennessee",Nicole Lilienthal,32,4,F,Senior marketing advisor,Sales/Marketing,Yes,FALSE,Married,1,0,0,0,1,0,0,0,1,1
122,61,16,01/04/23,"Nashville, Tennessee",Christopher Thielk,36,4,M,Business coach,Business/Finance,Yes,FALSE,Married,1,0,0,0,1,0,0,0,1,1
123,62,16,01/04/23,"Nashville, Tennessee",Gina Micheletti,35,5,F,Hairstylist & salon owner,Other,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
124,62,16,01/04/23,"Nashville, Tennessee",Clint Webb,40,5,M,Account executive,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
125,63,16,01/04/23,"Nashville, Tennessee",Domynique Kloss,25,9,F,Associate sales broker,Sales/Marketing,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
126,63,16,01/04/23,"Nashville, Tennessee",Mackinley Gilbert,34,9,M,Director of operations,Business/Finance,No,FALSE,Divorced,1,0,0,0,1,0,0,0,1,1
127,64,16,01/04/23,"Nashville, Tennessee",Kirsten Grimes,32,1,F,Real estate agent,Sales/Marketing,Yes,TRUE,Divorced,1,0,0,0,1,0,0,0,1,1
128,64,16,01/04/23,"Nashville, Tennessee",Shaquille Dillon,31,1,M,Executive director,Business/Finance,No,TRUE,Divorced,1,0,0,0,1,0,0,0,1,1
